****************************************************
****************************************************
 mstm calculation results
 date, time:
20221117 112918.123 
 input file:
linear_chain_10_rand.inp
****************************************************
 input variables for run     1
 sphere data input file:
linear_chain_10_z_config.pos
 number spheres
   10
 length, ref index scale factors
  1.2670000E+00  1.0400000E+00  1.8330000E+00
 volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
  2.7296659E+00  1.2670000E+00  1.2157411E+01  2.7296659E+00
 random orientation, estimated t matrix order:
    20
 layer 0 refractive index
  1.0000E+00  0.0000E+00
 number of plane boundaries 
  0
 max_iterations,solution_epsilon, mie_epsilon
     10000  1.0000E-06  1.0000E-06
 maximum Mie order, number of equations:
   5       700
 mean sphere Mie extinction, absorption efficiencies
  3.4770E+00  1.6863E+00
****************************************************
 calculation results for run 
           1
 number iterations, error, solution time 
     0  0.0000E+00  6.1131E+00
 t matrix order:
    18
 total extinction, absorption, scattering efficiencies (unpolarized incidence)
  5.6342E+00  2.7355E+00  2.8988E+00
 total scattering
 number directions, number SM elements:
   181     6
   theta     11          12          22          33          34          44     
   48.00  2.6686E-01 -4.5524E-01  9.4692E-01  8.0089E-01  1.7413E-01  7.9436E-01
   49.00  2.5212E-01 -4.7298E-01  9.4450E-01  7.8419E-01  1.8705E-01  7.7827E-01
   50.00  2.3834E-01 -4.9054E-01  9.4192E-01  7.6665E-01  1.9995E-01  7.6131E-01
   51.00  2.2551E-01 -5.0787E-01  9.3916E-01  7.4824E-01  2.1289E-01  7.4342E-01
   52.00  2.1362E-01 -5.2490E-01  9.3620E-01  7.2892E-01  2.2594E-01  7.2453E-01
   53.00  2.0263E-01 -5.4158E-01  9.3303E-01  7.0865E-01  2.3918E-01  7.0457E-01
   54.00  1.9250E-01 -5.5784E-01  9.2963E-01  6.8737E-01  2.5263E-01  6.8343E-01
   55.00  1.8317E-01 -5.7361E-01  9.2598E-01  6.6500E-01  2.6631E-01  6.6104E-01
   56.00  1.7456E-01 -5.8882E-01  9.2208E-01  6.4149E-01  2.8018E-01  6.3732E-01
   57.00  1.6659E-01 -6.0337E-01  9.1792E-01  6.1679E-01  2.9417E-01  6.1222E-01
   58.00  1.5921E-01 -6.1720E-01  9.1350E-01  5.9086E-01  3.0819E-01  5.8570E-01
   59.00  1.5233E-01 -6.3021E-01  9.0882E-01  5.6371E-01  3.2209E-01  5.5779E-01
   60.00  1.4590E-01 -6.4232E-01  9.0389E-01  5.3536E-01  3.3572E-01  5.2853E-01
   61.00  1.3987E-01 -6.5346E-01  8.9873E-01  5.0587E-01  3.4894E-01  4.9799E-01
   62.00  1.3420E-01 -6.6357E-01  8.9335E-01  4.7532E-01  3.6157E-01  4.6630E-01
   63.00  1.2886E-01 -6.7259E-01  8.8777E-01  4.4382E-01  3.7349E-01  4.3359E-01
   64.00  1.2383E-01 -6.8048E-01  8.8203E-01  4.1151E-01  3.8457E-01  4.0001E-01
   65.00  1.1910E-01 -6.8723E-01  8.7616E-01  3.7852E-01  3.9473E-01  3.6573E-01
   66.00  1.1466E-01 -6.9282E-01  8.7019E-01  3.4500E-01  4.0390E-01  3.3090E-01
   67.00  1.1052E-01 -6.9723E-01  8.6413E-01  3.1110E-01  4.1204E-01  2.9569E-01
   68.00  1.0667E-01 -7.0048E-01  8.5803E-01  2.7697E-01  4.1916E-01  2.6021E-01
   69.00  1.0311E-01 -7.0256E-01  8.5190E-01  2.4273E-01  4.2527E-01  2.2458E-01
   70.00  9.9837E-02 -7.0348E-01  8.4574E-01  2.0851E-01  4.3038E-01  1.8892E-01
   71.00  9.6851E-02 -7.0325E-01  8.3956E-01  1.7442E-01  4.3454E-01  1.5329E-01
   72.00  9.4144E-02 -7.0186E-01  8.3336E-01  1.4059E-01  4.3775E-01  1.1777E-01
   73.00  9.1705E-02 -6.9931E-01  8.2712E-01  1.0710E-01  4.4004E-01  8.2423E-02
   74.00  8.9521E-02 -6.9563E-01  8.2082E-01  7.4083E-02  4.4141E-01  4.7338E-02
   75.00  8.7578E-02 -6.9081E-01  8.1445E-01  4.1645E-02  4.4186E-01  1.2599E-02
   76.00  8.5861E-02 -6.8490E-01  8.0798E-01  9.9141E-03  4.4137E-01 -2.1681E-02
   77.00  8.4351E-02 -6.7793E-01  8.0140E-01 -2.0979E-02  4.3992E-01 -5.5371E-02
   78.00  8.3034E-02 -6.6999E-01  7.9472E-01 -5.0899E-02  4.3750E-01 -8.8318E-02
   79.00  8.1894E-02 -6.6117E-01  7.8795E-01 -7.9713E-02  4.3412E-01 -1.2035E-01
   80.00  8.0916E-02 -6.5159E-01  7.8111E-01 -1.0730E-01  4.2980E-01 -1.5130E-01
   81.00  8.0089E-02 -6.4140E-01  7.7426E-01 -1.3356E-01  4.2459E-01 -1.8099E-01
   82.00  7.9401E-02 -6.3076E-01  7.6745E-01 -1.5842E-01  4.1858E-01 -2.0926E-01
   83.00  7.8845E-02 -6.1984E-01  7.6076E-01 -1.8184E-01  4.1188E-01 -2.3598E-01
   84.00  7.8413E-02 -6.0881E-01  7.5429E-01 -2.0382E-01  4.0462E-01 -2.6107E-01
   85.00  7.8099E-02 -5.9782E-01  7.4813E-01 -2.2443E-01  3.9698E-01 -2.8445E-01
   86.00  7.7900E-02 -5.8701E-01  7.4238E-01 -2.4376E-01  3.8913E-01 -3.0614E-01
   87.00  7.7811E-02 -5.7651E-01  7.3714E-01 -2.6194E-01  3.8125E-01 -3.2618E-01
   88.00  7.7829E-02 -5.6638E-01  7.3251E-01 -2.7914E-01  3.7350E-01 -3.4465E-01
   89.00  7.7949E-02 -5.5667E-01  7.2855E-01 -2.9555E-01  3.6604E-01 -3.6168E-01
   90.00  7.8169E-02 -5.4739E-01  7.2533E-01 -3.1138E-01  3.5901E-01 -3.7743E-01
   91.00  7.8482E-02 -5.3850E-01  7.2290E-01 -3.2684E-01  3.5250E-01 -3.9209E-01
   92.00  7.8883E-02 -5.2996E-01  7.2127E-01 -3.4211E-01  3.4657E-01 -4.0583E-01
   93.00  7.9365E-02 -5.2168E-01  7.2044E-01 -3.5736E-01  3.4124E-01 -4.1883E-01
   94.00  7.9920E-02 -5.1356E-01  7.2038E-01 -3.7273E-01  3.3651E-01 -4.3128E-01
   95.00  8.0540E-02 -5.0551E-01  7.2107E-01 -3.8832E-01  3.3233E-01 -4.4331E-01
   96.00  8.1214E-02 -4.9741E-01  7.2243E-01 -4.0420E-01  3.2864E-01 -4.5506E-01
   97.00  8.1935E-02 -4.8916E-01  7.2440E-01 -4.2039E-01  3.2536E-01 -4.6662E-01
   98.00  8.2691E-02 -4.8069E-01  7.2691E-01 -4.3689E-01  3.2238E-01 -4.7806E-01
   99.00  8.3473E-02 -4.7193E-01  7.2987E-01 -4.5366E-01  3.1960E-01 -4.8942E-01
  100.00  8.4271E-02 -4.6282E-01  7.3319E-01 -4.7064E-01  3.1693E-01 -5.0072E-01
  101.00  8.5078E-02 -4.5333E-01  7.3681E-01 -4.8775E-01  3.1427E-01 -5.1195E-01
  102.00  8.5886E-02 -4.4345E-01  7.4064E-01 -5.0491E-01  3.1154E-01 -5.2309E-01
  103.00  8.6688E-02 -4.3318E-01  7.4461E-01 -5.2202E-01  3.0866E-01 -5.3412E-01
  104.00  8.7478E-02 -4.2254E-01  7.4867E-01 -5.3897E-01  3.0558E-01 -5.4499E-01
  105.00  8.8254E-02 -4.1155E-01  7.5275E-01 -5.5569E-01  3.0226E-01 -5.5565E-01
  106.00  8.9011E-02 -4.0025E-01  7.5682E-01 -5.7207E-01  2.9866E-01 -5.6607E-01
  107.00  8.9748E-02 -3.8870E-01  7.6082E-01 -5.8805E-01  2.9476E-01 -5.7621E-01
  108.00  9.0464E-02 -3.7693E-01  7.6475E-01 -6.0355E-01  2.9057E-01 -5.8601E-01
  109.00  9.1160E-02 -3.6500E-01  7.6856E-01 -6.1851E-01  2.8609E-01 -5.9546E-01
  110.00  9.1836E-02 -3.5297E-01  7.7225E-01 -6.3290E-01  2.8132E-01 -6.0453E-01
  111.00  9.2493E-02 -3.4088E-01  7.7580E-01 -6.4667E-01  2.7630E-01 -6.1320E-01
  112.00  9.3135E-02 -3.2877E-01  7.7921E-01 -6.5980E-01  2.7103E-01 -6.2144E-01
