****************************************************
****************************************************
 mstm calculation results
 date, time:
20220919 203016.498 
 input file:
linear_chain_30.inp
****************************************************
 input variables for run     1
 sphere data input file:
linear_chain_30_config.pos
 number spheres
   30
 length, ref index scale factors
  1.2670000E+00  1.0400000E+00  1.8330000E+00
 volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
  3.9368580E+00  1.2670000E+00  3.3944144E+01  3.9368580E+00
 random orientation, estimated t matrix order:
    44
 layer 0 refractive index
  1.0000E+00  0.0000E+00
 number of plane boundaries 
  0
 max_iterations,solution_epsilon, mie_epsilon
     10000  1.0000E-06  1.0000E-06
 maximum Mie order, number of equations:
   5      2100
 mean sphere Mie extinction, absorption efficiencies
  3.4770E+00  1.6863E+00
****************************************************
 calculation results for run 
           1
 number iterations, error, solution time 
     0  0.0000E+00  1.5487E+02
 t matrix order:
    42
 total extinction, absorption, scattering efficiencies (unpolarized incidence)
  7.5149E+00  3.6915E+00  3.8234E+00
 total scattering
 number directions, number SM elements:
   181     6
   theta     11          12          22          33          34          44     
    0.00  1.5057E+01  0.0000E+00  9.8245E-01  9.8245E-01  0.0000E+00  9.6500E-01
    1.00  1.4436E+01  7.8081E-04  9.8243E-01  9.8243E-01 -5.1873E-03  9.6497E-01
    2.00  1.2772E+01  3.1342E-03  9.8240E-01  9.8231E-01 -2.1019E-02  9.6487E-01
    3.00  1.0562E+01  6.9730E-03  9.8247E-01  9.8200E-01 -4.7704E-02  9.6471E-01
    4.00  8.3683E+00  1.1730E-02  9.8284E-01  9.8130E-01 -8.3336E-02  9.6450E-01
    5.00  6.5889E+00  1.5907E-02  9.8370E-01  9.7997E-01 -1.2096E-01  9.6421E-01
    6.00  5.3492E+00  1.7447E-02  9.8500E-01  9.7802E-01 -1.4932E-01  9.6378E-01
    7.00  4.5506E+00  1.5501E-02  9.8639E-01  9.7582E-01 -1.6182E-01  9.6321E-01
    8.00  4.0073E+00  1.1350E-02  9.8744E-01  9.7389E-01 -1.6327E-01  9.6260E-01
    9.00  3.5724E+00  6.8318E-03  9.8803E-01  9.7252E-01 -1.6333E-01  9.6212E-01
   10.00  3.1858E+00  2.7146E-03  9.8827E-01  9.7171E-01 -1.6711E-01  9.6190E-01
   11.00  2.8495E+00 -1.3876E-03  9.8835E-01  9.7130E-01 -1.7333E-01  9.6196E-01
   12.00  2.5758E+00 -6.1844E-03  9.8836E-01  9.7104E-01 -1.7779E-01  9.6217E-01
   13.00  2.3582E+00 -1.1864E-02  9.8833E-01  9.7072E-01 -1.7822E-01  9.6234E-01
   14.00  2.1743E+00 -1.7968E-02  9.8822E-01  9.7031E-01 -1.7604E-01  9.6240E-01
   15.00  2.0052E+00 -2.3968E-02  9.8805E-01  9.6989E-01 -1.7400E-01  9.6246E-01
   16.00  1.8464E+00 -2.9806E-02  9.8784E-01  9.6954E-01 -1.7324E-01  9.6262E-01
   17.00  1.7029E+00 -3.5899E-02  9.8763E-01  9.6923E-01 -1.7272E-01  9.6283E-01
   18.00  1.5788E+00 -4.2713E-02  9.8737E-01  9.6878E-01 -1.7084E-01  9.6286E-01
   19.00  1.4712E+00 -5.0340E-02  9.8696E-01  9.6810E-01 -1.6733E-01  9.6255E-01
   20.00  1.3737E+00 -5.8510E-02  9.8630E-01  9.6722E-01 -1.6333E-01  9.6189E-01
   21.00  1.2822E+00 -6.6949E-02  9.8535E-01  9.6633E-01 -1.5993E-01  9.6105E-01
   22.00  1.1967E+00 -7.5676E-02  9.8420E-01  9.6550E-01 -1.5701E-01  9.6018E-01
   23.00  1.1194E+00 -8.4948E-02  9.8298E-01  9.6467E-01 -1.5349E-01  9.5929E-01
   24.00  1.0504E+00 -9.4946E-02  9.8184E-01  9.6363E-01 -1.4858E-01  9.5825E-01
   25.00  9.8740E-01 -1.0556E-01  9.8079E-01  9.6227E-01 -1.4256E-01  9.5697E-01
   26.00  9.2774E-01 -1.1647E-01  9.7977E-01  9.6062E-01 -1.3639E-01  9.5545E-01
   27.00  8.7069E-01 -1.2745E-01  9.7861E-01  9.5884E-01 -1.3063E-01  9.5371E-01
   28.00  8.1732E-01 -1.3854E-01  9.7720E-01  9.5696E-01 -1.2500E-01  9.5168E-01
   29.00  7.6875E-01 -1.4998E-01  9.7545E-01  9.5484E-01 -1.1880E-01  9.4914E-01
   30.00  7.2474E-01 -1.6195E-01  9.7336E-01  9.5226E-01 -1.1178E-01  9.4590E-01
   31.00  6.8393E-01 -1.7444E-01  9.7102E-01  9.4914E-01 -1.0439E-01  9.4199E-01
   32.00  6.4511E-01 -1.8728E-01  9.6857E-01  9.4560E-01 -9.7183E-02  9.3769E-01
   33.00  6.0808E-01 -2.0037E-01  9.6619E-01  9.4185E-01 -9.0190E-02  9.3340E-01
   34.00  5.7335E-01 -2.1378E-01  9.6401E-01  9.3799E-01 -8.2816E-02  9.2931E-01
   35.00  5.4128E-01 -2.2769E-01  9.6197E-01  9.3392E-01 -7.4433E-02  9.2521E-01
   36.00  5.1160E-01 -2.4224E-01  9.5982E-01  9.2940E-01 -6.5000E-02  9.2063E-01
   37.00  4.8370E-01 -2.5739E-01  9.5725E-01  9.2422E-01 -5.5073E-02  9.1508E-01
   38.00  4.5720E-01 -2.7297E-01  9.5404E-01  9.1831E-01 -4.5221E-02  9.0830E-01
   39.00  4.3218E-01 -2.8880E-01  9.5028E-01  9.1163E-01 -3.5490E-02  9.0036E-01
   40.00  4.0880E-01 -3.0477E-01  9.4632E-01  9.0413E-01 -2.5417E-02  8.9156E-01
   41.00  3.8699E-01 -3.2087E-01  9.4257E-01  8.9574E-01 -1.4547E-02  8.8220E-01
   42.00  3.6637E-01 -3.3711E-01  9.3919E-01  8.8642E-01 -2.9030E-03  8.7247E-01
   43.00  3.4662E-01 -3.5353E-01  9.3603E-01  8.7625E-01  9.0519E-03  8.6232E-01
   44.00  3.2778E-01 -3.7021E-01  9.3276E-01  8.6537E-01  2.0869E-02  8.5157E-01
   45.00  3.1016E-01 -3.8721E-01  9.2915E-01  8.5384E-01  3.2523E-02  8.3998E-01
   46.00  2.9402E-01 -4.0460E-01  9.2525E-01  8.4155E-01  4.4393E-02  8.2743E-01
   47.00  2.7924E-01 -4.2231E-01  9.2139E-01  8.2829E-01  5.6890E-02  8.1402E-01
   48.00  2.6537E-01 -4.4018E-01  9.1791E-01  8.1388E-01  7.0116E-02  8.0000E-01
   49.00  2.5196E-01 -4.5798E-01  9.1489E-01  7.9834E-01  8.3875E-02  7.8561E-01
   50.00  2.3883E-01 -4.7554E-01  9.1207E-01  7.8179E-01  9.7966E-02  7.7078E-01
   51.00  2.2617E-01 -4.9279E-01  9.0901E-01  7.6430E-01  1.1239E-01  7.5510E-01
   52.00  2.1429E-01 -5.0973E-01  9.0524E-01  7.4581E-01  1.2727E-01  7.3799E-01
   53.00  2.0335E-01 -5.2632E-01  9.0053E-01  7.2619E-01  1.4260E-01  7.1900E-01
   54.00  1.9332E-01 -5.4244E-01  8.9483E-01  7.0534E-01  1.5809E-01  6.9799E-01
   55.00  1.8404E-01 -5.5788E-01  8.8819E-01  6.8335E-01  1.7329E-01  6.7513E-01
   56.00  1.7538E-01 -5.7239E-01  8.8062E-01  6.6034E-01  1.8792E-01  6.5055E-01
   57.00  1.6736E-01 -5.8581E-01  8.7213E-01  6.3631E-01  2.0202E-01  6.2422E-01
   58.00  1.6000E-01 -5.9805E-01  8.6295E-01  6.1102E-01  2.1584E-01  5.9602E-01
   59.00  1.5329E-01 -6.0919E-01  8.5362E-01  5.8418E-01  2.2950E-01  5.6615E-01
   60.00  1.4709E-01 -6.1938E-01  8.4492E-01  5.5569E-01  2.4287E-01  5.3536E-01
   61.00  1.4124E-01 -6.2887E-01  8.3754E-01  5.2583E-01  2.5563E-01  5.0477E-01
   62.00  1.3564E-01 -6.3788E-01  8.3172E-01  4.9519E-01  2.6759E-01  4.7530E-01
   63.00  1.3028E-01 -6.4652E-01  8.2705E-01  4.6435E-01  2.7890E-01  4.4716E-01
   64.00  1.2524E-01 -6.5471E-01  8.2269E-01  4.3356E-01  2.8997E-01  4.1963E-01
   65.00  1.2058E-01 -6.6220E-01  8.1778E-01  4.0267E-01  3.0111E-01  3.9155E-01
   66.00  1.1630E-01 -6.6873E-01  8.1197E-01  3.7126E-01  3.1234E-01  3.6210E-01
   67.00  1.1234E-01 -6.7415E-01  8.0559E-01  3.3902E-01  3.2334E-01  3.3130E-01
   68.00  1.0860E-01 -6.7851E-01  7.9938E-01  3.0589E-01  3.3380E-01  2.9991E-01
   69.00  1.0507E-01 -6.8191E-01  7.9396E-01  2.7211E-01  3.4360E-01  2.6877E-01
   70.00  1.0178E-01 -6.8436E-01  7.8932E-01  2.3804E-01  3.5290E-01  2.3810E-01
   71.00  9.8791E-02 -6.8556E-01  7.8478E-01  2.0398E-01  3.6190E-01  2.0733E-01
   72.00  9.6160E-02 -6.8509E-01  7.7935E-01  1.7017E-01  3.7052E-01  1.7551E-01
   73.00  9.3864E-02 -6.8261E-01  7.7241E-01  1.3675E-01  3.7833E-01  1.4215E-01
   74.00  9.1828E-02 -6.7820E-01  7.6414E-01  1.0383E-01  3.8479E-01  1.0766E-01
   75.00  8.9961E-02 -6.7237E-01  7.5552E-01  7.1438E-02  3.8957E-01  7.3239E-02
   76.00  8.8199E-02 -6.6584E-01  7.4778E-01  3.9516E-02  3.9281E-01  4.0204E-02
   77.00  8.6526E-02 -6.5915E-01  7.4176E-01  7.9375E-03  3.9499E-01  9.2623E-03
   78.00  8.4969E-02 -6.5237E-01  7.3748E-01 -2.3382E-02  3.9664E-01 -1.9777E-02
   79.00  8.3569E-02 -6.4515E-01  7.3416E-01 -5.4347E-02  3.9802E-01 -4.7765E-02
   80.00  8.2352E-02 -6.3691E-01  7.3069E-01 -8.4645E-02  3.9903E-01 -7.5608E-02
   81.00  8.1317E-02 -6.2726E-01  7.2624E-01 -1.1386E-01  3.9931E-01 -1.0373E-01
   82.00  8.0437E-02 -6.1625E-01  7.2070E-01 -1.4172E-01  3.9860E-01 -1.3188E-01
   83.00  7.9675E-02 -6.0428E-01  7.1463E-01 -1.6822E-01  3.9688E-01 -1.5942E-01
   84.00  7.8997E-02 -5.9190E-01  7.0893E-01 -1.9370E-01  3.9442E-01 -1.8571E-01
   85.00  7.8384E-02 -5.7950E-01  7.0433E-01 -2.1862E-01  3.9155E-01 -2.1046E-01
   86.00  7.7827E-02 -5.6717E-01  7.0106E-01 -2.4334E-01  3.8850E-01 -2.3380E-01
   87.00  7.7324E-02 -5.5478E-01  6.9891E-01 -2.6790E-01  3.8524E-01 -2.5604E-01
   88.00  7.6878E-02 -5.4215E-01  6.9742E-01 -2.9209E-01  3.8157E-01 -2.7741E-01
   89.00  7.6490E-02 -5.2921E-01  6.9621E-01 -3.1557E-01  3.7730E-01 -2.9795E-01
   90.00  7.6159E-02 -5.1609E-01  6.9523E-01 -3.3813E-01  3.7240E-01 -3.1751E-01
   91.00  7.5886E-02 -5.0300E-01  6.9468E-01 -3.5979E-01  3.6703E-01 -3.3589E-01
   92.00  7.5667E-02 -4.9013E-01  6.9483E-01 -3.8076E-01  3.6144E-01 -3.5306E-01
   93.00  7.5503E-02 -4.7749E-01  6.9582E-01 -4.0128E-01  3.5587E-01 -3.6916E-01
   94.00  7.5391E-02 -4.6491E-01  6.9744E-01 -4.2141E-01  3.5038E-01 -3.8444E-01
   95.00  7.5332E-02 -4.5219E-01  6.9925E-01 -4.4094E-01  3.4486E-01 -3.9916E-01
   96.00  7.5330E-02 -4.3915E-01  7.0074E-01 -4.5948E-01  3.3909E-01 -4.1344E-01
   97.00  7.5388E-02 -4.2582E-01  7.0156E-01 -4.7663E-01  3.3291E-01 -4.2722E-01
   98.00  7.5509E-02 -4.1236E-01  7.0169E-01 -4.9222E-01  3.2629E-01 -4.4033E-01
   99.00  7.5690E-02 -3.9901E-01  7.0144E-01 -5.0639E-01  3.1938E-01 -4.5259E-01
  100.00  7.5923E-02 -3.8599E-01  7.0131E-01 -5.1958E-01  3.1240E-01 -4.6392E-01
  101.00  7.6195E-02 -3.7339E-01  7.0179E-01 -5.3236E-01  3.0555E-01 -4.7438E-01
  102.00  7.6487E-02 -3.6117E-01  7.0316E-01 -5.4517E-01  2.9895E-01 -4.8411E-01
  103.00  7.6785E-02 -3.4915E-01  7.0539E-01 -5.5821E-01  2.9258E-01 -4.9331E-01
  104.00  7.7075E-02 -3.3718E-01  7.0821E-01 -5.7140E-01  2.8633E-01 -5.0214E-01
  105.00  7.7355E-02 -3.2514E-01  7.1119E-01 -5.8438E-01  2.8004E-01 -5.1068E-01
  106.00  7.7630E-02 -3.1299E-01  7.1392E-01 -5.9675E-01  2.7359E-01 -5.1895E-01
  107.00  7.7909E-02 -3.0082E-01  7.1616E-01 -6.0818E-01  2.6692E-01 -5.2689E-01
  108.00  7.8201E-02 -2.8877E-01  7.1787E-01 -6.1855E-01  2.6007E-01 -5.3442E-01
  109.00  7.8514E-02 -2.7697E-01  7.1921E-01 -6.2794E-01  2.5311E-01 -5.4148E-01
  110.00  7.8848E-02 -2.6553E-01  7.2046E-01 -6.3660E-01  2.4616E-01 -5.4802E-01
  111.00  7.9196E-02 -2.5453E-01  7.2191E-01 -6.4486E-01  2.3927E-01 -5.5405E-01
  112.00  7.9550E-02 -2.4395E-01  7.2380E-01 -6.5301E-01  2.3251E-01 -5.5958E-01
  113.00  7.9901E-02 -2.3377E-01  7.2622E-01 -6.6120E-01  2.2587E-01 -5.6465E-01
  114.00  8.0243E-02 -2.2393E-01  7.2912E-01 -6.6947E-01  2.1933E-01 -5.6934E-01
  115.00  8.0575E-02 -2.1437E-01  7.3237E-01 -6.7773E-01  2.1286E-01 -5.7369E-01
  116.00  8.0900E-02 -2.0506E-01  7.3578E-01 -6.8579E-01  2.0644E-01 -5.7776E-01
  117.00  8.1226E-02 -1.9597E-01  7.3914E-01 -6.9350E-01  2.0006E-01 -5.8161E-01
  118.00  8.1561E-02 -1.8708E-01  7.4231E-01 -7.0069E-01  1.9373E-01 -5.8528E-01
  119.00  8.1910E-02 -1.7838E-01  7.4521E-01 -7.0731E-01  1.8744E-01 -5.8881E-01
  120.00  8.2276E-02 -1.6987E-01  7.4780E-01 -7.1335E-01  1.8120E-01 -5.9221E-01
  121.00  8.2659E-02 -1.6156E-01  7.5014E-01 -7.1886E-01  1.7499E-01 -5.9548E-01
  122.00  8.3054E-02 -1.5343E-01  7.5227E-01 -7.2392E-01  1.6881E-01 -5.9862E-01
  123.00  8.3456E-02 -1.4552E-01  7.5426E-01 -7.2862E-01  1.6263E-01 -6.0160E-01
  124.00  8.3858E-02 -1.3785E-01  7.5617E-01 -7.3301E-01  1.5645E-01 -6.0440E-01
  125.00  8.4257E-02 -1.3045E-01  7.5804E-01 -7.3716E-01  1.5026E-01 -6.0700E-01
  126.00  8.4650E-02 -1.2335E-01  7.5988E-01 -7.4107E-01  1.4410E-01 -6.0938E-01
  127.00  8.5036E-02 -1.1658E-01  7.6170E-01 -7.4476E-01  1.3797E-01 -6.1154E-01
  128.00  8.5417E-02 -1.1016E-01  7.6348E-01 -7.4820E-01  1.3192E-01 -6.1349E-01
  129.00  8.5795E-02 -1.0408E-01  7.6520E-01 -7.5140E-01  1.2598E-01 -6.1526E-01
  130.00  8.6173E-02 -9.8345E-02  7.6685E-01 -7.5436E-01  1.2019E-01 -6.1686E-01
  131.00  8.6552E-02 -9.2927E-02  7.6842E-01 -7.5708E-01  1.1455E-01 -6.1832E-01
  132.00  8.6932E-02 -8.7798E-02  7.6991E-01 -7.5959E-01  1.0909E-01 -6.1966E-01
  133.00  8.7314E-02 -8.2930E-02  7.7131E-01 -7.6190E-01  1.0380E-01 -6.2089E-01
  134.00  8.7697E-02 -7.8293E-02  7.7264E-01 -7.6404E-01  9.8675E-02 -6.2204E-01
  135.00  8.8080E-02 -7.3864E-02  7.7390E-01 -7.6604E-01  9.3705E-02 -6.2310E-01
  136.00  8.8460E-02 -6.9624E-02  7.7511E-01 -7.6792E-01  8.8879E-02 -6.2408E-01
  137.00  8.8839E-02 -6.5560E-02  7.7627E-01 -7.6971E-01  8.4185E-02 -6.2498E-01
  138.00  8.9215E-02 -6.1663E-02  7.7741E-01 -7.7141E-01  7.9617E-02 -6.2580E-01
  139.00  8.9589E-02 -5.7928E-02  7.7852E-01 -7.7306E-01  7.5174E-02 -6.2655E-01
  140.00  8.9960E-02 -5.4353E-02  7.7962E-01 -7.7465E-01  7.0860E-02 -6.2722E-01
  141.00  9.0331E-02 -5.0936E-02  7.8071E-01 -7.7619E-01  6.6682E-02 -6.2783E-01
  142.00  9.0700E-02 -4.7675E-02  7.8180E-01 -7.7770E-01  6.2649E-02 -6.2839E-01
  143.00  9.1069E-02 -4.4569E-02  7.8289E-01 -7.7918E-01  5.8774E-02 -6.2888E-01
  144.00  9.1437E-02 -4.1614E-02  7.8399E-01 -7.8062E-01  5.5063E-02 -6.2932E-01
  145.00  9.1804E-02 -3.8808E-02  7.8508E-01 -7.8203E-01  5.1520E-02 -6.2971E-01
  146.00  9.2169E-02 -3.6146E-02  7.8619E-01 -7.8342E-01  4.8144E-02 -6.3006E-01
  147.00  9.2530E-02 -3.3625E-02  7.8730E-01 -7.8479E-01  4.4929E-02 -6.3036E-01
  148.00  9.2887E-02 -3.1239E-02  7.8841E-01 -7.8614E-01  4.1863E-02 -6.3062E-01
  149.00  9.3239E-02 -2.8985E-02  7.8952E-01 -7.8747E-01  3.8931E-02 -6.3084E-01
  150.00  9.3585E-02 -2.6857E-02  7.9063E-01 -7.8879E-01  3.6120E-02 -6.3102E-01
  151.00  9.3925E-02 -2.4852E-02  7.9173E-01 -7.9008E-01  3.3416E-02 -6.3117E-01
  152.00  9.4258E-02 -2.2966E-02  7.9282E-01 -7.9136E-01  3.0810E-02 -6.3127E-01
  153.00  9.4585E-02 -2.1194E-02  7.9389E-01 -7.9261E-01  2.8299E-02 -6.3133E-01
  154.00  9.4906E-02 -1.9532E-02  7.9493E-01 -7.9383E-01  2.5881E-02 -6.3135E-01
  155.00  9.5220E-02 -1.7976E-02  7.9595E-01 -7.9502E-01  2.3562E-02 -6.3133E-01
  156.00  9.5528E-02 -1.6521E-02  7.9694E-01 -7.9618E-01  2.1348E-02 -6.3126E-01
  157.00  9.5829E-02 -1.5162E-02  7.9790E-01 -7.9729E-01  1.9248E-02 -6.3115E-01
  158.00  9.6125E-02 -1.3893E-02  7.9884E-01 -7.9836E-01  1.7269E-02 -6.3101E-01
  159.00  9.6414E-02 -1.2708E-02  7.9975E-01 -7.9940E-01  1.5419E-02 -6.3084E-01
  160.00  9.6696E-02 -1.1601E-02  8.0065E-01 -8.0040E-01  1.3701E-02 -6.3065E-01
  161.00  9.6972E-02 -1.0564E-02  8.0154E-01 -8.0138E-01  1.2118E-02 -6.3045E-01
